code,search_term_en,search_term_fr
1.1,agroecology,agroécologie
1.1,agroecological,agroécologique
1.1,sustainable agriculture,agriculture durable
1.1,ecological agriculture,agriculture écologique
1.1,organic agriculture,agriculture biologique
1.1,regenerative agriculture,agriculture régénérative
1.1,nature-based,fondé sur la nature
1.1,policy,politique
1.1,policies,politiques
1.1,plan,plan
1.1,resilience,résilience
1.1,resilient,résilient
1.1,diversity,diversité
1.1,diversification,diversification
1.1,agroforestry,agroforesterie
1.1,intercropping,cultures associées
1.2,Market,Marché
1.2,incentives,incitations
1.2,incentivise,inciter
1.2,incentivize,inciter
1.2,certification,certification
1.2,certify,certifier
1.2,pricing,tarification
1.2,price,prix
1.2,trade import,importation commerciale
1.2,export,exportation
1.2,tax,taxe
1.2,levies,prélèvements
1.2,levy,prélèvement
1.2,procure,approvisionner
1.3,coordination,coordination
1.3,coordinate,coordonner
1.3,co-ordination,co-ordination
1.3,co-ordinate,co-ordonner
1.3,coherence,cohérence
1.3,intersectoral,intersectoriel
1.3,inter-sectoral,inter-sectoriel
1.3,cross-sectoral,transversal
1.4,Gender,Genre
1.4,equity,équité
1.4,equality,égalité
1.4,empowerment,autonomisation
1.4,access,accès
1.4,right,droit
2.1,Data,Données
2.1,information,information
2.1,evidence,données probantes
2.1,indicator,indicateur
2.1,performance,performance
2.1,learning,apprentissage
2.1,monitor,suivi
2.1,adaptive learning,apprentissage adaptatif
2.1,analysis,analyse
2.1,dissemination,diffusion
2.1,disseminated,diffusé
2.1,document,document
2.1,information sharing,partage d'informations
2.1,report,rapport
2.2,Holistic,Holistique
2.2,assessment,évaluation
2.2,assess,évaluer
2.2,systems,systèmes
2.3,Document,Document
2.3,Report,Rapport
3.1,diversification,diversification
3.1,diversity,diversité
3.1,resilience,résilience
3.1,resilient,résilient
3.1,diet,alimentation
3.1,health,santé
3.2,Pesticide,Pesticide
3.2,chemical,produit chimique
3.2,hazard,danger
3.2,pest,ravageur
3.2,integrated pest management,gestion intégrée des ravageurs
3.2,biological pest control,lutte biologique contre les ravageurs
3.3,Fund,Fonds
3.3,finance,financement
3.3,invest,investir
3.3,enterprise,entreprise
3.3,business,commerce
3.3,SME,PME
3.3,micro,micro
3.4,Innovate,Innover
3.4,market,marché
3.4,digital,numérique
3.4,technology,technologie
3.4,connect,connecter
3.4,link,lien
3.5,SDG,ODD
3.5,Climate,Climat
3.5,UNFCCC,CCNUCC
3.5,KJWA,KJWA
3.5,hunger,faim
3.5,poverty,pauvreté
3.5,equity,équité
3.5,education,éducation
3.5,knowledge,connaissance
3.5,land,foncier
3.6,Soil health,santé des sols
3.6,recycle,recycler
3.6,input,intrant
3.6,fertilizer,engrais
3.6,manure,fumier
3.6,organic amendments,amendements organiques
3.6,compost,compost
4.1,Research,Recherche
4.1,invest,investir
4.1,fund,financer
4.1,finance,financement
4.2,Platform,Plateforme
4.2,transdisciplinary,transdisciplinaire
4.2,co-learning,co-apprentissage
4.3,Research,Recherche
4.3,invest,investir
4.3,fund,financer
4.3,finance,financement
4.3,participatory,participatif
4.4,Knowledge,Connaissance
4.4,sharing,partage
4.4,dissemination,diffusion
4.4,disseminate,diffuser
4.4,producer organizations,organisations de producteurs
4.4,farmer organizations,organisations d'agriculteurs
4.4,cooperatives,coopératives
4.4,community networks,réseaux communautaires
4.4,agricultural networks,réseaux agricoles
4.4,community extension,vulgarisation communautaire
4.4,farmer-to-farmer learning,apprentissage de paysan à paysan
4.4,indigenous knowledge,savoirs autochtones
5.1,Right,Droit
5.1,property,propriété
5.1,resources,ressources
5.2,participation,participation
5.2,participatory,participatif
5.2,participate,participer
5.2,decision,décision
5.2,vulnerable,vulnérable
5.2,marginalized,marginalisé
5.3,Women,Femmes
5.3,empowerment,autonomisation
5.3,gender,genre
5.3,equity,équité
5.3,equality,égalité
5.3,empowerment,autonomisation
5.3,access,accès
5.3,right,droit
5.4,Innovate,Innover
5.4,market,marché
5.4,digital,numérique
5.4,technology,technologie
5.4,connect,connecter
5.4,link,lien
5.4,cooperative,coopérative
5.4,platform,plateforme
1.1,local context,contexte local
1.1,soil health,santé des sols
1.1,agricultural systems,systèmes agricoles
1.1,food systems,systèmes alimentaires
1.2,label,label
1.2,import,import
1.2,fair,foire
1.2,outlet,débouché
1.3,sector,secteur
1.4,women,femme
1.4,sex,sexe
1.4,fair,équitable
2.1,collection,collecte
2.1,sharing,partage
2.1,popularization,vulgarisation
2.1,lessons,enseignements
2.1,results,résultats
2.1,assessment,évaluation
2.2,studies,études
2.2,results,résultats
2.2,ratings,valuations
2.2,analyzes,analyses
2.2,conditions of employment,conditions d'emploi
2.2,food,alimentation
2.2,diets,régimes alimentaires
2.2,nutrition,nutrition
2.2,women empowerment,autonomisation des femmes
2.2,income,revenus
2.3,food safety,sécurité alimentaire
2.3,nutrition,nutrition
2.3,agroecology,agroécologie
2.4,transition,transition
2.4,sustainable systems,systèmes durables
2.4,study,étude
2.4,analysis,analyse
3.1,promote,promouvoir
3.1,sustainable,durable
3.1,workshop,atelier
3.1,popularization,vulgarisation
3.1,to raise awareness,sensibiliser
3.1,to specialize,spécaliser
3.1,monoculture,monoculture
3.1,specialization,spécialisation
3.1,export,exportation
3.1,corridor,corridor
3.1,modern,moderne
3.2,pesticides,pesticides
3.2,biological control,lutte biologique
3.2,honey plants,plantes mélifères
3.2,diversification,diversification
