code,search_term_en,search_term_fr
1.1,agroecology,agroécologie
1.1,resilience,résilience
1.2,export,export
1.2,walk,marché
1.3,consistency,cohérence
1.3,coordination,coordination
1.3,intersectoral,intersectoriel
1.4,gender,genre
1.4,equality,égalité
2.1,data,données
2.1,analysis,analyse
3.1,diversification,diversification
3.1,monoculture,monoculture
3.1,export,export
3.5,SDGs,ODD
3.6,soil health,santé des sols
3.6,compost,compost
4.1,research,recherche
4.1,funding,financement
4.1,finance,financer
4.2,platform,plateforme
4.2,transdisciplinary,transdisciplinaire
4.3,participatory,participatif
4.3,participatory,participative
5.2,participation,participation
5.2,decision,décision
5.3,empowerment,autonomisation
5.3,women,femme
5.3,access,accès
5.4,cooperative,coopérative
5.4,platform,plateforme
